plate,row,column ,genotype,BZT,microbe,Salt,BZT,0.FN,2.FN,4.FN,6.FN,8.FN,10.FN,unfixed.error,note
8.II,D,2,HBE,B,-,0,,3,2,4,4,6,5,,
8.II,D,3,RdM,B,-,0,,2,2,4,4,9,9,,
8.II,D,4,Dhl,B,-,0,,2,4,3,4,4,5,,
8.II,D,5,Lyt,B,-,0,,2,3,2,4,5,7,,
8.II,D,6,Cmb,B,-,0,,1,2,2,4,7,7,,
9.I,A,1,AjW,B,+,S,,2,2,2,2,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,A,2,Cdv,B,+,S,,1,2,2,4,4,4,,col order of entire plate changed from original design due to error and swap correction
9.I,A,3,Mck,B,+,S,,2,2,2,2,2,2,,col order of entire plate changed from original design due to error and swap correction
9.I,A,4,Mck,B,+,S,,3,3,2,2,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,A,5,Stn,B,+,S,,2,2,2,2,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,A,6,Lgy,B,+,S,,2,2,4,4,5,5,,col order of entire plate changed from original design due to error and swap correction
9.I,B,1,AjW,B,-,0,,4,4,4,6,7,7,,col order of entire plate changed from original design due to error and swap correction
9.I,B,2,Cdv,B,-,0,,2,2,1,1,1,1,,col order of entire plate changed from original design due to error and swap correction
9.I,B,3,Mck,B,-,0,,1,2,2,4,4,4,,col order of entire plate changed from original design due to error and swap correction
9.I,B,4,Mck,B,-,0,,2,2,3,3,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,B,5,Stn,B,-,0,,2,2,4,5,4,6,,col order of entire plate changed from original design due to error and swap correction
9.I,B,6,Lgy,B,-,0,,2,2,2,3,3,3,,col order of entire plate changed from original design due to error and swap correction
9.I,C,1,AjW,0,-,S,,4,4,3,3,3,4,,col order of entire plate changed from original design due to error and swap correction
9.I,C,2,Cdv,0,-,S,,2,2,3,3,6,6,,col order of entire plate changed from original design due to error and swap correction
9.I,C,3,Mck,0,-,S,,2,2,4,4,4,6,,col order of entire plate changed from original design due to error and swap correction
9.I,C,4,Mck,0,-,S,,1,2,2,3,5,7,,col order of entire plate changed from original design due to error and swap correction
9.I,C,5,Stn,0,-,S,,3,3,2,4,4,5,,col order of entire plate changed from original design due to error and swap correction
9.I,C,6,Lgy,0,-,S,,2,2,1,2,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,D,1,AjW,0,-,0,,2,4,3,2,2,2,,col order of entire plate changed from original design due to error and swap correction
9.I,D,2,Cdv,0,-,0,,2,4,3,4,4,4,,col order of entire plate changed from original design due to error and swap correction
9.I,D,3,Mck,0,-,0,,2,2,2,2,2,4,,col order of entire plate changed from original design due to error and swap correction
9.I,D,4,Mck,0,-,0,,2,3,2,3,3,6,,col order of entire plate changed from original design due to error and swap correction
9.I,D,5,Stn,0,-,0,,2,2,4,5,7,10,,col order of entire plate changed from original design due to error and swap correction
9.I,D,6,Lgy,0,-,0,,2,2,2,2,2,3,,col order of entire plate changed from original design due to error and swap correction
9.II,A,1,AjW,0,+,0,,3,3,3,3,1,1,,col order of entire plate changed from original design due to error and swap correction
9.II,A,2,Cdv,0,+,0,,2,2,3,3,8,9,,col order of entire plate changed from original design due to error and swap correction
9.II,A,3,Mck,0,+,0,,2,1,1,1,1,1,,col order of entire plate changed from original design due to error and swap correction
9.II,A,4,Mck,0,+,0,,2,2,1,1,1,1,,col order of entire plate changed from original design due to error and swap correction
9.II,A,5,Stn,0,+,0,,2,2,3,5,6,8,,col order of entire plate changed from original design due to error and swap correction
9.II,A,6,Lgy,0,+,0,,1,2,1,4,4,4,,col order of entire plate changed from original design due to error and swap correction
9.II,B,1,AjW,B,+,0,,2,3,2,4,4,4,,col order of entire plate changed from original design due to error and swap correction
9.II,B,2,Cdv,B,+,0,,2,2,2,3,3,4,,col order of entire plate changed from original design due to error and swap correction
9.II,B,3,Mck,B,+,0,,2,2,2,1,1,1,,col order of entire plate changed from original design due to error and swap correction
9.II,B,4,Mck,B,+,0,,2,2,2,2,1,1,,col order of entire plate changed from original design due to error and swap correction
9.II,B,5,Stn,B,+,0,,1,1,1,1,1,1,,col order of entire plate changed from original design due to error and swap correction
9.II,B,6,Lgy,B,+,0,,3,3,4,5,5,4,,col order of entire plate changed from original design due to error and swap correction
9.II,C,1,AjW,0,+,S,,3,4,4,5,6,8,,col order of entire plate changed from original design due to error and swap correction
9.II,C,2,Cdv,0,+,S,,2,3,4,5,5,12,,col order of entire plate changed from original design due to error and swap correction
9.II,C,3,Mck,0,+,S,,1,2,2,2,2,2,,col order of entire plate changed from original design due to error and swap correction
9.II,C,4,Mck,0,+,S,,2,2,2,2,2,1,,col order of entire plate changed from original design due to error and swap correction
9.II,C,5,Stn,0,+,S,,1,2,2,2,2,2,,col order of entire plate changed from original design due to error and swap correction
9.II,C,6,Lgy,0,+,S,,2,3,3,3,4,5,,col order of entire plate changed from original design due to error and swap correction
9.II,D,1,AjW,B,-,S,,2,3,2,4,3,4,,col order of entire plate changed from original design due to error and swap correction
9.II,D,2,Cdv,B,-,S,,2,2,2,3,4,6,,col order of entire plate changed from original design due to error and swap correction
9.II,D,3,Mck,B,-,S,,1,2,2,4,5,8,,col order of entire plate changed from original design due to error and swap correction
9.II,D,4,Mck,B,-,S,,1,2,2,4,5,7,,col order of entire plate changed from original design due to error and swap correction
9.II,D,5,Stn,B,-,S,,2,2,2,1,2,2,,col order of entire plate changed from original design due to error and swap correction
9.II,D,6,Lgy,B,-,S,,2,2,3,4,4,6,,col order of entire plate changed from original design due to error and swap correction
10.I,A,1,WDf,B,-,0,,2,2,2,4,4,6,,
10.I,A,2,CnP,B,+,0,,2,2,4,5,6,7,,swapped to plus from minus in experiment setup error
10.I,A,3,Chr,B,-,0,,1,2,2,4,4,5,,
10.I,A,4,AjW,B,-,0,,2,2,2,4,4,3,,
10.I,A,5,Aqt,B,-,0,,2,3,5,5,5,5,,
10.I,A,6,AjD,B,-,0,,2,2,2,4,4,3,,
10.I,B,1,WDf,B,+,0,,3,3,3,3,4,3,,
10.I,B,2,CnP,B,-,0,,2,2,3,6,5,5,,swapped to minus from plus in experiment to account for error
10.I,B,3,Chr,B,+,0,,1,2,2,4,4,4,,
10.I,B,4,AjW,B,+,0,,2,2,3,1,3,2,,
10.I,B,5,Aqt,B,+,0,,1,2,2,3,4,4,,
10.I,B,6,AjD,B,+,0,,2,2,2,2,3,3,,
10.I,C,1,WDf,0,+,0,,2,2,2,2,2,2,,
10.I,C,2,CnP,0,+,0,,2,2,2,3,3,5,,
10.I,C,3,Chr,0,+,0,,1,2,4,4,4,5,,
10.I,C,4,AjW,0,+,0,,2,2,4,4,1,2,,
10.I,C,5,Aqt,0,+,0,,2,2,2,2,1,2,,
10.I,C,6,AjD,0,+,0,,3,3,5,2,2,2,,
10.I,D,1,WDf,0,+,S,,1,2,2,2,1,1,,
10.I,D,2,CnP,0,+,S,,2,2,3,5,5,7,,
10.I,D,3,Chr,0,+,S,,1,2,2,4,4,4,,
10.I,D,4,AjW,0,+,S,,3,4,4,3,3,4,,
10.I,D,5,Aqt,0,+,S,,4,3,3,3,3,3,,
10.I,D,6,AjD,0,+,S,,4,4,4,5,5,5,,
10.II,A,1,WDf,B,-,S,,2,2,3,2,2,3,,
10.II,A,2,CnP,B,-,S,,2,2,3,4,7,8,,
10.II,A,3,Chr,B,-,S,,2,2,3,6,6,6,,
10.II,A,4,AjW,B,-,S,,3,2,3,3,3,3,,
10.II,A,5,Aqt,B,-,S,,2,2,2,1,0,0,,
10.II,A,6,AjD,B,-,S,,3,2,3,4,4,4,,
10.II,B,1,WDf,0,-,S,,2,2,3,3,3,4,,
10.II,B,2,CnP,0,-,S,,2,2,2,3,4,6,,
10.II,B,3,Chr,0,-,S,,2,3,4,6,7,8,,
10.II,B,4,AjW,0,-,S,,2,2,2,2,2,2,,
10.II,B,5,Aqt,0,-,S,,2,1,1,1,1,1,,
10.II,B,6,AjD,0,-,S,,6,6,3,3,3,3,,
10.II,C,1,WDf,0,-,0,,2,2,2,3,6,5,,
10.II,C,2,CnP,0,-,0,,2,3,2,2,5,5,,
10.II,C,3,Chr,0,-,0,,3,4,7,7,8,8,,
10.II,C,4,AjW,0,-,0,,3,6,4,4,4,5,,
10.II,C,5,Aqt,0,-,0,,3,2,3,3,3,4,,
10.II,C,6,AjD,0,-,0,,4,5,5,5,3,4,,
10.II,D,1,WDf,B,+,S,,2,1,2,2,2,3,,
10.II,D,2,CnP,B,+,S,,2,3,3,7,8,10,,
10.II,D,3,Chr,B,+,S,,2,2,2,2,3,3,,
10.II,D,4,AjW,B,+,S,,3,3,3,3,3,4,,
10.II,D,5,Aqt,B,+,S,,1,1,2,2,0,0,,
10.II,D,6,AjD,B,+,S,,2,2,4,2,2,2,,
11.I,A,1,Lyt,0,+,0,,2,2,5,5,8,11,,
11.I,A,2,Stn,0,+,0,,2,3,5,6,8,8,,
11.I,A,3,Grn,0,+,0,,2,3,3,3,2,2,,
11.I,A,4,Stf,0,+,0,,3,2,4,2,2,2,,
11.I,A,5,Brk,0,+,0,,2,2,2,2,1,2,,
11.I,A,6,McT,0,+,0,,2,4,5,7,9,9,,
11.I,B,1,Lyt,B,-,0,,2,2,5,5,7,7,,
11.I,B,2,Stn,B,-,0,,2,3,6,6,5,6,,
11.I,B,3,Grn,B,-,0,,2,2,2,2,2,2,,
11.I,B,4,Stf,B,-,0,,3,2,3,3,3,2,,
11.I,B,5,Brk,B,-,0,,2,3,3,3,4,3,,
11.I,B,6,McT,B,-,0,,2,2,3,4,4,4,,
11.I,C,1,Lyt,B,-,S,,2,3,5,5,7,7,,
11.I,C,2,Stn,B,-,S,,3,3,3,3,2,3,,
11.I,C,3,Grn,B,-,S,,2,1,1,1,1,1,,
11.I,C,4,Stf,B,-,S,,1,1,1,1,0,0,,
11.I,C,5,Brk,B,-,S,,4,4,5,5,5,5,,
11.I,C,6,McT,B,-,S,,2,2,4,4,6,5,,
11.I,D,1,Lyt,B,+,S,,2,2,2,2,2,2,,
11.I,D,2,Stn,B,+,S,,2,1,1,1,1,1,,
11.I,D,3,Grn,B,+,S,,3,3,4,3,3,3,,
11.I,D,4,Stf,B,+,S,,3,2,3,2,3,2,,
11.I,D,5,Brk,B,+,S,,2,2,1,0,0,0,,
11.I,D,6,McT,B,+,S,,2,2,2,4,4,5,,
11.II,A,1,Lyt,B,+,0,,2,3,4,5,9,9,,
11.II,A,2,Stn,B,+,0,,2,2,3,4,5,5,,
11.II,A,3,Grn,B,+,0,,3,3,4,4,4,4,,
11.II,A,4,Stf,B,+,0,,2,2,2,1,3,1,,
11.II,A,5,Brk,B,+,0,,2,3,3,3,1,3,,
11.II,A,6,McT,B,+,0,,2,2,2,4,5,5,,
11.II,B,1,Lyt,0,-,0,,2,3,3,5,6,6,,
11.II,B,2,Stn,0,-,0,,2,2,2,2,2,2,,
11.II,B,3,Grn,0,-,0,,1,1,1,1,1,1,,
11.II,B,4,Stf,0,-,0,,2,2,3,3,3,2,,
11.II,B,5,Brk,0,-,0,,3,3,5,5,4,4,,
11.II,B,6,McT,0,-,0,,2,3,4,5,4,6,,
11.II,C,1,Lyt,0,+,S,,2,2,2,3,3,3,,
11.II,C,2,Stn,0,+,S,,3,3,3,3,4,3,,
11.II,C,3,Grn,0,+,S,,2,3,3,1,1,0,,
11.II,C,4,Stf,0,+,S,,3,3,3,3,1,1,,
11.II,C,5,Brk,0,+,S,,2,2,2,2,1,1,,
11.II,C,6,McT,0,+,S,,2,3,3,3,2,2,,
11.II,D,1,Lyt,0,-,S,,5,6,5,5,6,8,,
11.II,D,2,Stn,0,-,S,,2,2,4,4,1,5,,
11.II,D,3,Grn,0,-,S,,2,2,4,4,3,4,,
11.II,D,4,Stf,0,-,S,,4,3,3,3,3,2,,
11.II,D,5,Brk,0,-,S,,2,4,6,3,3,3,,
11.II,D,6,McT,0,-,S,,3,3,5,5,5,7,,
12.I,A,1,Arb,B,-,0,,3,3,3,3,2,3,,
12.I,A,2,Chr,B,-,0,,2,3,4,6,6,5,,
12.I,A,3,Cmb,B,-,0,,2,2,3,5,5,4,,
12.I,A,4,LnH,B,-,0,,3,3,3,3,3,3,,
12.I,A,5,Wlp,B,-,0,,2,2,2,2,2,3,,
12.I,A,6,Mnt,B,-,0,,1,2,2,3,3,4,,
12.I,B,1,Arb,B,+,0,,2,2,2,2,2,2,,
12.I,B,2,Chr,B,+,0,,2,4,4,6,3,3,,
12.I,B,3,Cmb,B,+,0,,2,3,2,5,3,2,,
12.I,B,4,LnH,B,+,0,,2,2,3,2,2,2,,
12.I,B,5,Wlp,B,+,0,,2,2,4,4,3,3,,
12.I,B,6,Mnt,B,+,0,,3,3,4,4,2,2,,
12.I,C,1,Arb,B,-,S,,3,2,3,2,2,3,,
12.I,C,2,Chr,B,-,S,,4,4,8,8,5,7,,
12.I,C,3,Cmb,B,-,S,,3,4,6,9,7,7,,
12.I,C,4,LnH,B,-,S,,3,2,3,3,3,2,,
12.I,C,5,Wlp,B,-,S,,2,2,2,2,3,2,,
12.I,C,6,Mnt,B,-,S,,3,3,3,3,2,2,,
12.I,D,1,Arb,0,-,S,,2,2,2,2,4,2,,
12.I,D,2,Chr,0,-,S,,3,6,6,9,6,7,,
12.I,D,3,Cmb,0,-,S,,3,4,6,6,5,6,,
12.I,D,4,LnH,0,-,S,,2,2,2,4,3,3,,
12.I,D,5,Wlp,0,-,S,,3,2,3,4,3,3,,
12.I,D,6,Mnt,0,-,S,,1,2,2,2,2,3,,
12.II,A,1,Arb,0,-,0,,4,3,3,4,3,4,,
12.II,A,2,Chr,0,-,0,,2,3,5,5,4,5,,
12.II,A,3,Cmb,0,-,0,,2,2,2,3,4,4,,
12.II,A,4,LnH,0,-,0,,3,3,4,3,3,3,,
12.II,A,5,Wlp,0,-,0,,2,3,3,5,3,4,,
12.II,A,6,Mnt,0,-,0,,2,2,3,2,3,3,,
12.II,B,1,Arb,0,+,0,,1,1,1,1,1,1,,
12.II,B,2,Chr,0,+,0,,2,2,2,4,3,3,,
12.II,B,3,Cmb,0,+,0,,3,4,6,10,10,9,,
12.II,B,4,LnH,0,+,0,,2,2,2,2,1,2,,
12.II,B,5,Wlp,0,+,0,,2,2,1,1,2,2,,
12.II,B,6,Mnt,0,+,0,,2,3,3,4,2,3,,
12.II,C,1,Arb,B,+,S,,3,2,3,3,3,2,,
12.II,C,2,Chr,B,+,S,,2,2,2,4,5,5,,
12.II,C,3,Cmb,B,+,S,,2,3,4,5,3,4,,
12.II,C,4,LnH,B,+,S,,2,2,2,1,2,1,,
12.II,C,5,Wlp,B,+,S,,3,3,3,3,3,3,,
12.II,C,6,Mnt,B,+,S,,2,3,5,5,5,5,,
12.II,D,1,Arb,0,+,S,,3,3,3,3,2,2,,
12.II,D,2,Chr,0,+,S,,1,2,2,5,5,6,,
12.II,D,3,Cmb,0,+,S,,2,3,3,4,5,5,,
12.II,D,4,LnH,0,+,S,,2,2,2,2,4,3,,
12.II,D,5,Wlp,0,+,S,,2,4,6,6,6,6,,
12.II,D,6,Mnt,0,+,S,,1,2,2,4,2,2,,
13.I,A,1,Lgy,0,-,S,,2,2,4,5,5,6,,
13.I,A,2,Stn,0,-,S,,2,2,2,2,2,2,,became Stn from Mnt in setup error
13.I,A,3,Grn,0,-,S,,2,2,2,3,3,2,,became Grn from ClD in setup error
13.I,A,4,Swn,0,-,S,,2,1,1,1,1,1,,
13.I,A,5,Okb,0,-,S,,2,3,3,4,4,4,,
13.I,A,6,Trr,0,-,S,,4,4,8,9,8,8,,
13.I,B,1,Lgy,0,-,0,,2,2,2,3,3,3,,
13.I,B,2,Stn,0,-,0,,2,2,2,2,2,2,,became Stn from Mnt in setup error
13.I,B,3,Grn,0,-,0,,2,2,2,3,3,3,,became Grn from ClD in setup error
13.I,B,4,Swn,0,-,0,,2,2,2,1,1,1,,
13.I,B,5,Okb,0,-,0,,3,3,2,4,3,3,,
13.I,B,6,Trr,0,-,0,,2,2,6,7,7,6,,
13.I,C,1,Lgy,B,+,0,,2,2,2,5,4,4,,became plus microbe in setup error
13.I,C,2,Stn,B,-,0,,3,2,5,6,7,7,,became Stn from Mnt in setup error
13.I,C,3,Grn,B,-,0,,2,2,3,2,2,2,,became Grn from ClD in setup error
13.I,C,4,Swn,B,-,0,,2,2,2,1,2,1,,
13.I,C,5,Okb,B,-,0,,3,3,3,4,4,3,,
13.I,C,6,Trr,B,-,0,,4,6,6,6,5,4,,
13.I,D,1,Lgy,0,+,0,,3,4,4,5,5,5,,
13.I,D,2,Stn,0,+,0,,2,1,1,2,3,4,,became Stn from Mnt in setup error
13.I,D,3,Grn,0,+,0,,2,2,3,3,6,3,,became Grn from ClD in setup error
13.I,D,4,Swn,0,+,0,,3,3,3,3,2,1,,
13.I,D,5,Okb,0,+,0,,4,4,6,9,10,10,,
13.I,D,6,Trr,0,+,0,,2,2,2,4,3,5,,
13.II,A,1,Lgy,B,+,S,,2,2,3,5,5,4,,
13.II,A,2,Stn,B,+,S,,1,2,2,4,5,8,,became Stn from Mnt in setup error
13.II,A,3,Grn,B,+,S,,2,2,2,3,0,0,,became Grn from ClD in setup error
13.II,A,4,Swn,B,+,S,,1,2,2,2,1,1,,
13.II,A,5,Okb,B,+,S,,2,2,1,2,1,1,,
13.II,A,6,Trr,B,+,S,,2,3,4,7,5,7,,
13.II,B,1,Lgy,B,-,S,,2,2,4,4,3,3,,
13.II,B,2,Stn,B,-,S,,3,2,2,2,2,3,,became Stn from Mnt in setup error
13.II,B,3,Grn,B,-,S,,2,2,2,2,2,0,,became Grn from ClD in setup error
13.II,B,4,Swn,B,-,S,,2,2,2,2,2,2,,
13.II,B,5,Okb,B,-,S,,2,3,3,5,7,6,,
13.II,B,6,Trr,B,-,S,,2,2,4,5,5,3,,
13.II,C,1,Lgy,0,+,S,,2,2,2,3,4,4,,
13.II,C,2,Stn,0,+,S,,2,2,2,2,1,1,,became Stn from Mnt in setup error
13.II,C,3,Grn,0,+,S,,2,2,2,2,1,1,,became Grn from ClD in setup error
13.II,C,4,Swn,0,+,S,,2,2,2,2,2,1,,
13.II,C,5,Okb,0,+,S,,3,4,4,7,8,7,,
13.II,C,6,Trr,0,+,S,,2,3,4,4,4,3,,
13.II,D,1,Lgy,B,+,0,,3,4,3,6,6,4,,
