scorer,plate,row,column,ROI,,,,,,,,
MG,6.1,A,1,8,,,,,,,,
MG,6.1,A,2,7,,,,,,,,
MG,6.1,A,3,11,14,,,,,,,
MG,6.1,A,4,9,,,,,,,,
MG,6.1,A,5,13,15,,,,,,,
MG,6.1,A,6,12,,,,,,,,
MG,6.1,B,1,33,29,48,,,,,,
MG,6.1,B,2,26,,,,,,,,
MG,6.1,B,3,37,40,39,,,,,,
MG,6.1,B,4,18,43,46,,,,,,
MG,6.1,B,5,24,32,35,36,,,,,
MG,6.1,B,6,30,44,,,,,,,
MG,6.1,C,1,97,,,,,,,,
MG,6.1,C,2,55,,,,,,,,
MG,6.1,C,3,54,59,58,,,,,,
MG,6.1,C,4,57,,,,,,,,
MG,6.1,C,5,63,,,,,,,,
MG,6.1,C,6,62,65,64,,,,,,
MG,6.1,D,1,70,80,84,85,,,,,
MG,6.1,D,2,68,76,,,,,,,
MG,6.1,D,3,69,,,,,,,,
MG,6.1,D,4,75,81,78,,,,,,
MG,6.1,D,5,73,74,,,,,,,
MG,6.1,D,6,79,,,,,,,,
MG,6.2,A,1,26,,,,,,,,
MG,6.2,A,2,9,,,,,,,,
MG,6.2,A,3,15,18,21,,,,,,
MG,6.2,A,4,22,24,,,,,,,
MG,6.2,A,5,12,,,,,,,,
MG,6.2,A,6,14,28,,,,,,,
MG,6.2,B,1,34,38,,,,,,,
MG,6.2,B,2,36,,,,,,,,
MG,6.2,B,3,35,39,,,,,,,
MG,6.2,B,4,37,,,,,,,,
MG,6.2,B,5,33,32,,,,,,,
MG,6.2,B,6,31,,,,,,,,
MG,6.2,C,1,64,,,,,,,,
MG,6.2,C,2,44,51,,,,,,,
MG,6.2,C,3,46,49,,,,,,,
MG,6.2,C,4,45,48,,,,,,,
MG,6.2,C,5,43,,,,,,,,
MG,6.2,C,6,42,47,,,,,,,
MG,6.2,D,1,65,,,,,,,,
MG,6.2,D,2,61,,,,,,,,
MG,6.2,D,3,54,,,,,,,,
MG,6.2,D,4,57,55,58,,,,,,
MG,6.2,D,5,53,62,,,,,,,
MG,6.2,D,6,59,,,,,,,,
MG,7.1,A,1,8,,,,,,,,
MG,7.1,A,2,6,9,,,,,,,
MG,7.1,A,3,5,7,,,,,,,
MG,7.1,A,4,10,14,,,,,,,
MG,7.1,A,5,12,11,1,,,,,,
MG,7.1,A,6,13,,,,,,,,
MG,7.1,B,1,17,22,,,,,,,
MG,7.1,B,2,20,23,29,,,,,,
MG,7.1,B,3,21,27,,,,,,,
MG,7.1,B,4,25,24,,,,,,,
MG,7.1,B,5,19,,,,,,,,
MG,7.1,B,6,18,,,,,,,,
MG,7.1,C,1,32,34,,,,,,,
MG,7.1,C,2,35,,,,,,,,
MG,7.1,C,3,33,38,,,,,,,
MG,7.1,C,4,37,40,,,,,,,
MG,7.1,C,5,36,41,42,,,,,,
MG,7.1,C,6,31,,,,,,,,
MG,7.1,D,1,46,47,51,49,,,,,
MG,7.1,D,2,45,52,54,,,,,,
MG,7.1,D,3,48,,,,,,,,
MG,7.1,D,4,56,57,,,,,,,
MG,7.1,D,5,55,,,,,,,,
MG,7.1,D,6,50,,,,,,,,
MG,7.2,A,1,14,,,,,,,,
MG,7.2,A,2,9,,,,,,,,
MG,7.2,A,3,10,16,18,,,,,,
MG,7.2,A,4,13,,,,,,,,
MG,7.2,A,5,1,15,17,,,,,,
MG,7.2,A,6,12,,,,,,,,
MG,7.2,B,1,26,25,,,,,,,
MG,7.2,B,2,31,23,,,,,,,
MG,7.2,B,3,24,21,,,,,,,
MG,7.2,B,4,29,30,32,33,,,,,
MG,7.2,B,5,20,22,,,,,,,
MG,7.2,B,6,27,,,,,,,,
MG,7.2,C,1,34,39,44,,,,,,
MG,7.2,C,2,38,43,,,,,,,
MG,7.2,C,3,37,,,,,,,,
MG,7.2,C,4,42,40,,,,,,,
MG,7.2,C,5,35,36,,,,,,,
MG,7.2,C,6,41,45,,,,,,,
MG,7.2,D,1,55,,,,,,,,
MG,7.2,D,2,49,47,,,,,,,
MG,7.2,D,3,52,,,,,,,,
MG,7.2,D,4,50,54,,,,,,,
MG,7.2,D,5,48,,,,,,,,
MG,7.2,D,6,51,,,,,,,,
MG,8.1,A,1,3,9,,,,,,,
MG,8.1,A,2,2,,,,,,,,
MG,8.1,A,3,4,,,,,,,,
MG,8.1,A,4,8,6,,,,,,,
MG,8.1,A,5,5,,,,,,,,
MG,8.1,A,6,7,,,,,,,,
MG,8.1,B,1,15,,,,,,,,
MG,8.1,B,2,14,19,,,,,,,
MG,8.1,B,3,13,11,20,18,22,,,,
MG,8.1,B,4,12,,,,,,,,
MG,8.1,B,5,17,,,,,,,,
MG,8.1,B,6,21,,,,,,,,
MG,8.1,C,1,29,36,,,,,,,
MG,8.1,C,2,24,32,,,,,,,
MG,8.1,C,3,23,35,,,,,,,
MG,8.1,C,4,25,26,28,30,34,33,,,
MG,8.1,C,5,27,,,,,,,,
MG,8.1,C,6,37,31,,,,,,,
MG,8.1,D,1,45,,,,,,,,
MG,8.1,D,2,38,46,44,42,,,,,
MG,8.1,D,3,39,,,,,,,,
MG,8.1,D,4,43,41,48,,,,,,
MG,8.1,D,5,40,,,,,,,,
MG,8.1,D,6,47,,,,,,,,
MG,8.2,A,1,7,,,,,,,,
MG,8.2,A,2,4,6,,,,,,,
MG,8.2,A,3,3,,,,,,,,
MG,8.2,A,4,2,,,,,,,,
MG,8.2,A,5,1,,,,,,,,
MG,8.2,A,6,5,,,,,,,,
MG,8.2,B,1,14,,,,,,,,
MG,8.2,B,2,9,11,15,12,17,19,,,
MG,8.2,B,3,18,22,,,,,,,
MG,8.2,B,4,10,,,,,,,,
MG,8.2,B,5,16,20,,,,,,,
MG,8.2,B,6,13,21,,,,,,,
MG,8.2,C,1,27,,,,,,,,
MG,8.2,C,2,23,31,34,,,,,,
MG,8.2,C,3,24,33,,,,,,,
MG,8.2,C,4,32,29,,,,,,,
MG,8.2,C,5,25,30,,,,,,,
MG,8.2,C,6,26,28,,,,,,,
MG,8.2,D,1,49,48,,,,,,,
MG,8.2,D,2,35,39,36,37,47,,,,
MG,8.2,D,3,43,45,,,,,,,
MG,8.2,D,4,38,41,44,,,,,,
MG,8.2,D,5,42,46,,,,,,,
MG,8.2,D,6,40,,,,,,,,
MG,9.1,A,1,5,6,,,,,,,
MG,9.1,A,2,8,,,,,,,,
MG,9.1,A,3,4,,,,,,,,
MG,9.1,A,4,2,9,,,,,,,
MG,9.1,A,5,7,,,,,,,,
MG,9.1,A,6,3,,,,,,,,
MG,9.1,B,1,25,28,,,,,,,
MG,9.1,B,2,31,,,,,,,,
MG,9.1,B,3,24,,,,,,,,
MG,9.1,B,4,29,26,,,,,,,
MG,9.1,B,5,22,15,,,,,,,
MG,9.1,B,6,23,,,,,,,,
MG,9.1,C,1,39,40,45,53,,,,,
MG,9.1,C,2,46,43,,,,,,,
MG,9.1,C,3,38,42,,,,,,,
MG,9.1,C,4,37,,,,,,,,
MG,9.1,C,5,36,41,,,,,,,
MG,9.1,C,6,44,,,,,,,,
MG,9.1,D,1,72,78,80,,,,,,
MG,9.1,D,2,68,77,,,,,,,
MG,9.1,D,3,70,75,,,,,,,
MG,9.1,D,4,74,85,,,,,,,
MG,9.1,D,5,64,,,,,,,,
MG,9.1,D,6,81,79,,,,,,,
MG,9.2,A,1,13,21,22,,,,,,
MG,9.2,A,2,16,18,,,,,,,
MG,9.2,A,3,15,17,,,,,,,
MG,9.2,A,4,1,6,,,,,,,
MG,9.2,A,5,19,8,10,,,,,,
MG,9.2,A,6,11,,,,,,,,
MG,9.2,B,1,25,27,31,30,,,,,
MG,9.2,B,2,23,34,35,,,,,,
MG,9.2,B,3,26,,,,,,,,
MG,9.2,B,4,32,,,,,,,,
MG,9.2,B,5,24,,,,,,,,
MG,9.2,B,6,29,33,,,,,,,
MG,9.2,C,1,40,44,,,,,,,
MG,9.2,C,2,36,37,,,,,,,
MG,9.2,C,3,43,,,,,,,,
MG,9.2,C,4,41,,,,,,,,
MG,9.2,C,5,39,38,45,,,,,,
MG,9.2,C,6,42,,,,,,,,
MG,9.2,D,1,49,50,,,,,,,
MG,9.2,D,2,48,,,,,,,,
MG,9.2,D,3,46,,,,,,,,
MG,9.2,D,4,52,,,,,,,,
MG,9.2,D,5,47,53,,,,,,,
MG,9.2,D,6,51,,,,,,,,
MG,10.1,A,1,6,,,,,,,,
MG,10.1,A,2,1,3,,,,,,,
MG,10.1,A,3,7,,,,,,,,
MG,10.1,A,4,8,5,9,,,,,,
MG,10.1,A,5,4,,,,,,,,
MG,10.1,A,6,2,,,,,,,,
MG,10.1,B,1,17,14,,,,,,,
MG,10.1,B,2,10,12,,,,,,,
MG,10.1,B,3,11,,,,,,,,
MG,10.1,B,4,16,18,19,,,,,,
MG,10.1,B,5,13,,,,,,,,
MG,10.1,B,6,15,,,,,,,,
MG,10.1,C,1,26,29,,,,,,,
MG,10.1,C,2,23,,,,,,,,
MG,10.1,C,3,27,,,,,,,,
MG,10.1,C,4,28,,,,,,,,
MG,10.1,C,5,24,30,,,,,,,
MG,10.1,C,6,22,25,32,,,,,,
MG,10.1,D,1,45,,,,,,,,
MG,10.1,D,2,41,,,,,,,,
MG,10.1,D,3,42,,,,,,,,
MG,10.1,D,4,47,48,,,,,,,
MG,10.1,D,5,40,,,,,,,,
MG,10.1,D,6,36,39,44,54,,,,,
MG,10.2,A,1,11,,,,,,,,
MG,10.2,A,2,6,,,,,,,,
MG,10.2,A,3,4,,,,,,,,
MG,10.2,A,4,14,5,13,10,9,,,,
MG,10.2,A,5,2,8,7,12,,,,,
MG,10.2,A,6,3,15,,,,,,,
MG,10.2,B,1,19,,,,,,,,
MG,10.2,B,2,26,,,,,,,,
MG,10.2,B,3,20,,,,,,,,
MG,10.2,B,4,22,25,,,,,,,
MG,10.2,B,5,23,,,,,,,,
MG,10.2,B,6,21,24,27,,,,,,
MG,10.2,C,1,44,37,,,,,,,
MG,10.2,C,2,35,,,,,,,,
MG,10.2,C,3,43,48,,,,,,,
MG,10.2,C,4,34,33,42,46,45,47,,,
MG,10.2,C,5,40,,,,,,,,
MG,10.2,C,6,39,38,41,,,,,,
MG,10.2,D,1,64,,,,,,,,
MG,10.2,D,2,49,63,,,,,,,
MG,10.2,D,3,57,59,,,,,,,
MG,10.2,D,4,55,65,,,,,,,
MG,10.2,D,5,61,,,,,,,,
MG,10.2,D,6,58,53,,,,,,,
MG,11.1,A,1,15,,,,,,,,
MG,11.1,A,2,9,7,6,,,,,,
MG,11.1,A,3,10,18,,,,,,,
MG,11.1,A,4,11,13,14,16,,,,,
MG,11.1,A,5,12,,,,,,,,
MG,11.1,A,6,5,4,,,,,,,
MG,11.1,B,1,29,,,,,,,,
MG,11.1,B,2,31,32,37,,,,,,
MG,11.1,B,3,34,24,,,,,,,
MG,11.1,B,4,26,28,30,,,,,,
MG,11.1,B,5,21,23,,,,,,,
MG,11.1,B,6,27,,,,,,,,
MG,11.1,C,1,51,,,,,,,,
MG,11.1,C,2,46,,,,,,,,
MG,11.1,C,3,48,52,,,,,,,
MG,11.1,C,4,50,53,,,,,,,
MG,11.1,C,5,49,57,,,,,,,
MG,11.1,C,6,47,56,,,,,,,
MG,11.1,D,1,78,83,,,,,,,
MG,11.1,D,2,81,,,,,,,,
MG,11.1,D,3,71,,,,,,,,
MG,11.1,D,4,76,79,,,,,,,
MG,11.1,D,5,70,72,74,,,,,,
MG,11.1,D,6,69,68,,,,,,,
MG,11.2,A,1,12,27,,,,,,,
MG,11.2,A,2,20,,,,,,,,
MG,11.2,A,3,17,,,,,,,,
MG,11.2,A,4,14,23,22,,,,,,
MG,11.2,A,5,11,7,,,,,,,
MG,11.2,A,6,6,21,,,,,,,
MG,11.2,B,1,35,,,,,,,,
MG,11.2,B,2,47,46,42,40,,,,,
MG,11.2,B,3,93,,,,,,,,
MG,11.2,B,4,37,43,45,,,,,,
MG,11.2,B,5,33,41,44,,,,,,
MG,11.2,B,6,32,36,,,,,,,
MG,11.2,C,1,57,55,,,,,,,
MG,11.2,C,2,54,61,59,,,,,,
MG,11.2,C,3,58,,,,,,,,
MG,11.2,C,4,51,50,56,49,60,,,,
MG,11.2,C,5,53,63,,,,,,,
MG,11.2,C,6,48,52,,,,,,,
MG,11.2,D,1,69,85,83,79,,,,,
MG,11.2,D,2,88,78,82,,,,,,
MG,11.2,D,3,71,,,,,,,,
MG,11.2,D,4,73,72,75,81,,,,,
MG,11.2,D,5,66,,,,,,,,
MG,11.2,D,6,84,86,,,,,,,
MG,12.1,A,1,14,16,,,,,,,
MG,12.1,A,2,10,,,,,,,,
MG,12.1,A,3,15,,,,,,,,
MG,12.1,A,4,8,9,,,,,,,
MG,12.1,A,5,13,,,,,,,,
MG,12.1,A,6,17,,,,,,,,
MG,12.1,B,1,26,,,,,,,,
MG,12.1,B,2,31,33,,,,,,,
MG,12.1,B,3,32,,,,,,,,
MG,12.1,B,4,29,,,,,,,,
MG,12.1,B,5,24,,,,,,,,
MG,12.1,B,6,27,25,,,,,,,
MG,12.1,C,1,51,56,,,,,,,
MG,12.1,C,2,43,48,52,,,,,,
MG,12.1,C,3,49,58,,,,,,,
MG,12.1,C,4,50,53,55,,,,,,
MG,12.1,C,5,46,,,,,,,,
MG,12.1,C,6,45,,,,,,,,
MG,12.1,D,1,69,72,,,,,,,
MG,12.1,D,2,62,63,68,74,,,,,
MG,12.1,D,3,64,,,,,,,,
MG,12.1,D,4,66,,,,,,,,
MG,12.1,D,5,70,,,,,,,,
MG,12.1,D,6,71,,,,,,,,
MG,12.2,A,1,22,26,28,34,35,,,,
MG,12.2,A,2,32,25,,,,,,,
MG,12.2,A,3,31,,,,,,,,
MG,12.2,A,4,27,16,,,,,,,
MG,12.2,A,5,5,,,,,,,,
MG,12.2,A,6,21,30,,,,,,,
MG,12.2,B,1,47,48,,,,,,,
MG,12.2,B,2,46,,,,,,,,
MG,12.2,B,3,42,49,50,,,,,,
MG,12.2,B,4,44,,,,,,,,
MG,12.2,B,5,43,,,,,,,,
MG,12.2,B,6,101,102,,,,,,,
MG,12.2,C,1,57,,,,,,,,
MG,12.2,C,2,68,66,75,,,,,,
MG,12.2,C,3,67,69,71,,,,,,
MG,12.2,C,4,58,59,61,,,,,,
MG,12.2,C,5,62,63,64,65,73,,,,
MG,12.2,C,6,56,,,,,,,,
MG,12.2,D,1,91,,,,,,,,
MG,12.2,D,2,90,,,,,,,,
MG,12.2,D,3,85,87,,,,,,,
MG,12.2,D,4,92,93,,,,,,,
MG,12.2,D,5,88,89,94,,,,,,
MG,12.2,D,6,86,,,,,,,,
MG,13.1,A,1,4,12,11,,,,,,
MG,13.1,A,2,10,7,9,,,,,,
MG,13.1,A,3,3,,,,,,,,
MG,13.1,A,4,,,,,,,,,
MG,13.1,A,5,2,,,,,,,,
MG,13.1,A,6,6,8,,,,,,,
MG,13.1,B,1,22,35,,,,,,,
MG,13.1,B,2,26,33,28,30,,,,,
MG,13.1,B,3,23,,,,,,,,
MG,13.1,B,4,,,,,,,,,
MG,13.1,B,5,25,32,,,,,,,
MG,13.1,B,6,24,27,29,31,,,,,
MG,13.1,C,1,47,,,,,,,,
MG,13.1,C,2,40,44,,,,,,,
MG,13.1,C,3,43,,,,,,,,
MG,13.1,C,4,46,50,,,,,,,
MG,13.1,C,5,39,42,49,48,53,,,,
MG,13.1,C,6,38,45,52,51,,,,,
MG,13.1,D,1,61,63,65,79,,,,,
MG,13.1,D,2,70,74,75,,,,,,
MG,13.1,D,3,66,72,,,,,,,
MG,13.1,D,4,64,,,,,,,,
MG,13.1,D,5,59,62,,,,,,,
MG,13.1,D,6,60,,,,,,,,
MG,13.2,A,1,11,,,,,,,,
MG,13.2,A,2,8,12,,,,,,,
MG,13.2,A,3,9,,,,,,,,
MG,13.2,A,4,13,14,,,,,,,
MG,13.2,A,5,7,,,,,,,,
MG,13.2,A,6,10,15,,,,,,,
MG,13.2,B,1,32,24,17,,,,,,
MG,13.2,B,2,27,,,,,,,,
MG,13.2,B,3,30,,,,,,,,
MG,13.2,B,4,20,25,29,,,,,,
MG,13.2,B,5,23,,,,,,,,
MG,13.2,B,6,28,,,,,,,,
MG,13.2,C,1,46,45,,,,,,,
MG,13.2,C,2,49,58,,,,,,,
MG,13.2,C,3,52,,,,,,,,
MG,13.2,C,4,44,,,,,,,,
MG,13.2,C,5,50,,,,,,,,
MG,13.2,C,6,41,,,,,,,,
MG,13.2,D,1,66,,,,,,,,
MG,13.2,D,2,68,88,87,94,,,,,
MG,13.2,D,3,72,86,,,,,,,
MG,13.2,D,4,83,,,,,,,,
MG,13.2,D,5,80,74,75,63,62,,,,
MG,13.2,D,6,71,79,,,,,,,
MG,14.1,A,1,23,22,,,,,,,
MG,14.1,A,2,11,,,,,,,,
MG,14.1,A,3,17,20,,,,,,,
MG,14.1,A,4,15,,,,,,,,
MG,14.1,A,5,12,6,21,,,,,,
MG,14.1,A,6,7,19,,,,,,,
MG,14.1,B,1,40,120,,,,,,,
MG,14.1,B,2,37,44,,,,,,,
MG,14.1,B,3,41,,,,,,,,
MG,14.1,B,4,34,,,,,,,,
MG,14.1,B,5,39,,,,,,,,
MG,14.1,B,6,43,,,,,,,,
MG,14.1,C,1,52,49,,,,,,,
MG,14.1,C,2,57,,,,,,,,
MG,14.1,C,3,61,,,,,,,,
MG,14.1,C,4,56,55,,,,,,,
MG,14.1,C,5,58,59,65,67,68,,,,
MG,14.1,C,6,54,64,63,62,,,,,
MG,14.1,D,1,79,86,100,,,,,,
MG,14.1,D,2,88,,,,,,,,
MG,14.1,D,3,83,,,,,,,,
MG,14.1,D,4,87,104,121,122,123,,,,
MG,14.1,D,5,90,92,,,,,,,
MG,14.1,D,6,91,95,99,96,,,,,
MG,14.2,A,1,36,37,,,,,,,
MG,14.2,A,2,35,38,,,,,,,
MG,14.2,A,3,,,,,,,,,
MG,14.2,A,4,19,32,33,,,,,,
MG,14.2,A,5,41,34,23,27,,,,,
MG,14.2,A,6,21,22,25,28,,,,,
MG,14.2,B,1,85,79,84,,,,,,
MG,14.2,B,2,64,72,80,70,,,,,
MG,14.2,B,3,78,,,,,,,,
MG,14.2,B,4,53,66,,,,,,,
MG,14.2,B,5,88,100,96,,,,,,
MG,14.2,B,6,65,76,27,86,89,,,,
MG,14.2,C,1,120,,,,,,,,
MG,14.2,C,2,117,,,,,,,,
MG,14.2,C,3,116,,,,,,,,
MG,14.2,C,4,118,111,114,,,,,,
MG,14.2,C,5,112,,,,,,,,
MG,14.2,C,6,113,107,165,,,,,,
MG,14.2,D,1,138,166,,,,,,,
MG,14.2,D,2,137,,,,,,,,
MG,14.2,D,3,143,,,,,,,,
MG,14.2,D,4,134,,,,,,,,
MG,14.2,D,5,133,141,,,,,,,
MG,14.2,D,6,135,145,144,132,147,,,,
MG,15.1,A,1,21,20,17,,,,,,
MG,15.1,A,2,7,,,,,,,,
MG,15.1,A,3,10,,,,,,,,
MG,15.1,A,4,6,15,14,,,,,,
MG,15.1,A,5,9,13,,,,,,,
MG,15.1,A,6,8,,,,,,,,
MG,15.1,B,1,29,,,,,,,,
MG,15.1,B,2,26,32,,,,,,,
MG,15.1,B,3,25,31,,,,,,,
MG,15.1,B,4,30,,,,,,,,
MG,15.1,B,5,27,,,,,,,,
MG,15.1,B,6,28,24,,,,,,,
MG,15.1,C,1,40,,,,,,,,
MG,15.1,C,2,45,50,,,,,,,
MG,15.1,C,3,33,34,35,36,47,,,,
MG,15.1,C,4,43,,,,,,,,
MG,15.1,C,5,39,44,,,,,,,
MG,15.1,C,6,37,38,42,46,49,48,,,
MG,15.1,D,1,60,67,,,,,,,
MG,15.1,D,2,53,,,,,,,,
MG,15.1,D,3,62,,,,,,,,
MG,15.1,D,4,56,58,63,,,,,,
MG,15.1,D,5,61,54,,,,,,,
MG,15.1,D,6,59,57,55,,,,,,
MG,15.2,A,1,4,9,,,,,,,
MG,15.2,A,2,3,7,,,,,,,
MG,15.2,A,3,8,10,,,,,,,
MG,15.2,A,4,6,,,,,,,,
MG,15.2,A,5,5,,,,,,,,
MG,15.2,A,6,2,,,,,,,,
MG,15.2,B,1,19,,,,,,,,
MG,15.2,B,2,13,21,23,,,,,,
MG,15.2,B,3,22,,,,,,,,
MG,15.2,B,4,16,15,12,11,,,,,
MG,15.2,B,5,18,24,,,,,,,
MG,15.2,B,6,14,17,20,,,,,,
MG,15.2,C,1,43,42,44,,,,,,
MG,15.2,C,2,27,28,39,,,,,,
MG,15.2,C,3,30,36,,,,,,,
MG,15.2,C,4,33,,,,,,,,
MG,15.2,C,5,37,34,,,,,,,
MG,15.2,C,6,29,31,32,35,38,40,,,
MG,15.2,D,1,53,,,,,,,,
MG,15.2,D,2,54,58,60,63,,,,,
MG,15.2,D,3,51,46,,,,,,,
MG,15.2,D,4,57,,,,,,,,
MG,15.2,D,5,47,,,,,,,,
MG,15.2,D,6,49,48,50,55,52,56,59,62,64
MG,16.1,A,1,20,18,19,23,,,,,
MG,16.1,A,2,16,,,,,,,,
MG,16.1,A,3,25,,,,,,,,
MG,16.1,A,4,26,,,,,,,,
MG,16.1,A,5,24,,,,,,,,
MG,16.1,A,6,17,,,,,,,,
MG,16.1,B,1,36,,,,,,,,
MG,16.1,B,2,32,,,,,,,,
MG,16.1,B,3,33,35,,,,,,,
MG,16.1,B,4,34,,,,,,,,
MG,16.1,B,5,31,,,,,,,,
MG,16.1,B,6,30,,,,,,,,
MG,16.1,C,1,53,,,,,,,,
MG,16.1,C,2,52,59,,,,,,,
MG,16.1,C,3,44,47,50,55,,,,,
MG,16.1,C,4,43,58,63,92,,,,,
MG,16.1,C,5,49,48,,,,,,,
MG,16.1,C,6,45,,,,,,,,
MG,16.1,D,1,85,88,,,,,,,
MG,16.1,D,2,80,,,,,,,,
MG,16.1,D,3,83,87,,,,,,,
MG,16.1,D,4,75,77,76,,,,,,
MG,16.1,D,5,81,84,78,,,,,,
MG,16.1,D,6,82,86,,,,,,,
MG,16.2,A,1,10,,,,,,,,
MG,16.2,A,2,5,,,,,,,,
MG,16.2,A,3,15,14,,,,,,,
MG,16.2,A,4,11,,,,,,,,
MG,16.2,A,5,17,21,,,,,,,
MG,16.2,A,6,7,8,13,,,,,,
MG,16.2,B,1,37,,,,,,,,
MG,16.2,B,2,31,39,,,,,,,
MG,16.2,B,3,35,28,27,,,,,,
MG,16.2,B,4,85,,,,,,,,
MG,16.2,B,5,34,,,,,,,,
MG,16.2,B,6,30,,,,,,,,
MG,16.2,C,1,46,,,,,,,,
MG,16.2,C,2,44,41,,,,,,,
MG,16.2,C,3,51,54,53,56,58,59,,,
MG,16.2,C,4,52,60,86,,,,,,
MG,16.2,C,5,48,49,,,,,,,
MG,16.2,C,6,45,87,,,,,,,
MG,16.2,D,1,79,82,,,,,,,
MG,16.2,D,2,76,,,,,,,,
MG,16.2,D,3,75,80,83,,,,,,
MG,16.2,D,4,73,,,,,,,,
MG,16.2,D,5,78,74,,,,,,,
MG,16.2,D,6,77,,,,,,,,
MG,17.1,A,1,22,20,,,,,,,
MG,17.1,A,2,14,15,,,,,,,
MG,17.1,A,3,12,23,,,,,,,
MG,17.1,A,4,10,,,,,,,,
MG,17.1,A,5,11,17,,,,,,,
MG,17.1,A,6,13,18,16,,,,,,
MG,17.1,B,1,29,27,,,,,,,
MG,17.1,B,2,24,,,,,,,,
MG,17.1,B,3,31,37,30,43,,,,,
MG,17.1,B,4,26,44,34,28,35,33,,,
MG,17.1,B,5,25,41,36,38,39,42,45,,
MG,17.1,B,6,32,,,,,,,,
MG,17.1,C,1,52,55,57,,,,,,
MG,17.1,C,2,59,60,62,66,67,,,,
MG,17.1,C,3,53,61,65,64,,,,,
MG,17.1,C,4,58,,,,,,,,
MG,17.1,C,5,51,,,,,,,,
MG,17.1,C,6,54,,,,,,,,
MG,17.1,D,1,78,,,,,,,,
MG,17.1,D,2,70,74,,,,,,,
MG,17.1,D,3,69,71,,,,,,,
MG,17.1,D,4,68,73,,,,,,,
MG,17.1,D,5,72,76,,,,,,,
MG,17.1,D,6,75,,,,,,,,
MG,17.2,A,1,7,10,12,,,,,,
MG,17.2,A,2,3,9,,,,,,,
MG,17.2,A,3,4,,,,,,,,
MG,17.2,A,4,1,6,,,,,,,
MG,17.2,A,5,5,8,,,,,,,
MG,17.2,A,6,11,,,,,,,,
MG,17.2,B,1,28,,,,,,,,
MG,17.2,B,2,25,,,,,,,,
MG,17.2,B,3,24,21,26,32,29,,,,
MG,17.2,B,4,27,31,30,33,,,,,
MG,17.2,B,5,19,17,18,22,23,,,,
MG,17.2,B,6,16,,,,,,,,
MG,17.2,C,1,49,,,,,,,,
MG,17.2,C,2,42,,,,,,,,
MG,17.2,C,3,46,,,,,,,,
MG,17.2,C,4,43,48,,,,,,,
MG,17.2,C,5,40,,,,,,,,
MG,17.2,C,6,45,,,,,,,,
MG,17.2,D,1,65,70,68,71,,,,,
MG,17.2,D,2,63,,,,,,,,
MG,17.2,D,3,66,,,,,,,,
MG,17.2,D,4,56,60,85,,,,,,
MG,17.2,D,5,58,,,,,,,,
MG,17.2,D,6,61,,,,,,,,
MG,18.1,A,1,14,,,,,,,,
MG,18.1,A,2,18,,,,,,,,
MG,18.1,A,3,22,20,21,16,,,,,
MG,18.1,A,4,12,,,,,,,,
MG,18.1,A,5,15,,,,,,,,
MG,18.1,A,6,10,17,23,,,,,,
MG,18.1,B,1,32,,,,,,,,
MG,18.1,B,2,30,34,,,,,,,
MG,18.1,B,3,31,33,35,,,,,,
MG,18.1,B,4,28,,,,,,,,
MG,18.1,B,5,29,37,36,41,,,,,
MG,18.1,B,6,24,38,40,39,42,,,,
MG,18.1,C,1,52,,,,,,,,
MG,18.1,C,2,50,64,66,47,48,107,,,
MG,18.1,C,3,58,59,,,,,,,
MG,18.1,C,4,57,,,,,,,,
MG,18.1,C,5,56,,,,,,,,
MG,18.1,C,6,46,49,54,,,,,,
MG,18.1,D,1,78,91,92,,,,,,
MG,18.1,D,2,90,,,,,,,,
MG,18.1,D,3,88,108,,,,,,,
MG,18.1,D,4,83,81,,,,,,,
MG,18.1,D,5,80,,,,,,,,
